,District_ID,0,1,2,3,4,5,6,7,8,District_Name,Total
0,HD_1,0,0,0,0,0,0,0,3,9,Aru:Adi,12
1,HD_10,0,0,0,0,0,0,0,4,10,Aru:Logo,14
3,HD_101,0,0,0,0,0,0,0,0,1,Equateur:Motumbe,1
12,HD_11,0,0,0,0,0,0,1,7,16,Aru:Mahagi,24
14,HD_111,0,0,0,0,0,0,0,1,7,Haut Uele Est:Aba,8
15,HD_112,0,0,0,0,0,0,0,6,11,Haut Uele Est:Faradje,17
16,HD_113,0,0,0,0,0,0,0,0,7,Haut Uele Est:Gombari,7
17,HD_114,0,0,0,0,0,0,0,3,9,Haut Uele Est:Makoro,12
18,HD_115,0,0,0,0,0,0,2,8,16,Haut Uele Est:Watsa,26
19,HD_116,0,0,0,0,0,0,0,4,10,Haut Uele Ouest:Boma-Mangbetu,14
20,HD_117,0,0,0,0,0,0,0,0,6,Haut Uele Ouest:Doruma,6
21,HD_118,0,0,0,0,0,0,0,6,12,Haut Uele Ouest:Dungu,18
22,HD_119,0,0,0,0,0,2,7,16,31,Haut Uele Ouest:Isiro,56
23,HD_12,0,0,0,0,0,0,4,9,18,Aru:Nyarambe,31
24,HD_120,0,0,0,0,0,0,0,4,9,Haut Uele Ouest:Niangara,13
25,HD_121,0,0,0,0,0,0,0,6,11,Haut Uele Ouest:Pawa,17
26,HD_122,0,0,0,0,0,0,0,2,8,Haut Uele Ouest:Rungu,10
27,HD_123,0,0,0,0,0,0,5,10,20,Haut Uele Ouest:Wamba,35
34,HD_13,0,0,0,0,0,0,0,2,8,Aru:Rimba,10
35,HD_130,0,0,0,0,0,0,0,0,3,Haut-Katanga:Kilwa,3
41,HD_136,0,0,0,0,0,0,0,0,1,Haut-Katanga:Sakania,1
44,HD_139,0,0,0,0,0,0,0,0,1,Haut-Lomami:Butumba,1
47,HD_141,0,0,0,0,0,0,0,0,1,Haut-Lomami:Kabongo,1
57,HD_150,0,0,0,0,0,0,0,0,4,Haut-Lomami:Mukanga,4
60,HD_153,0,0,0,0,0,0,0,0,1,Kabinda:Kabinda,1
61,HD_154,0,0,0,0,0,0,0,0,1,Kabinda:Kalambayi Kabanga,1
68,HD_160,0,0,0,0,0,0,0,0,1,Kabinda:Ngandajika,1
95,HD_185,0,0,0,0,0,0,0,0,5,Kikwit:Kikwit-Nord,5
98,HD_188,0,0,0,0,0,0,0,1,7,Kindu:Kindu,8
102,HD_191,0,0,0,0,0,0,5,11,26,Kisangani:Makiso-Kisangani,42
109,HD_198,0,0,0,0,0,0,0,0,7,Kolwezi:Lualaba,7
111,HD_2,0,0,0,0,0,0,0,2,7,Aru:Adja,9
133,HD_219,0,0,0,0,0,0,0,0,1,Kwilu:Gungu,1
135,HD_220,0,0,0,0,0,0,0,0,4,Kwilu:Idiofa,4
152,HD_236,0,0,0,0,0,0,0,0,1,Kwilu:Yasa-Bonga,1
156,HD_24,49,21,25,34,47,68,100,149,225,Beni:Beni,718
167,HD_25,0,0,0,0,1,7,12,22,36,Beni:Kyondo,78
169,HD_251,0,0,0,0,0,0,0,3,10,Lubumbashi:Lubumbashi,13
178,HD_26,0,0,0,0,7,11,18,32,51,Beni:Mutwanga,119
189,HD_27,0,0,1,7,12,21,35,58,92,Beni:Oicha,226
200,HD_28,0,0,0,0,0,0,0,3,7,Beni:Vuhovi,10
212,HD_290,0,0,0,0,0,0,0,0,3,Mai-Ndombe:Bokoro,3
221,HD_299,0,0,0,0,0,0,0,0,3,Maniema Centre:Kailo,3
222,HD_3,0,0,0,0,0,0,0,0,2,Aru:Angumu,2
224,HD_300,0,0,0,0,0,0,0,0,7,Maniema Centre:Kalima,7
225,HD_301,0,0,0,0,0,0,0,0,6,Maniema Centre:Kampene,6
227,HD_303,0,0,0,0,0,0,0,0,4,Maniema Nord:Ferekeni,4
228,HD_304,0,0,0,0,0,0,0,0,2,Maniema Nord:Lubutu,2
232,HD_308,0,0,0,0,0,0,0,4,10,Maniema Sud:Kasongo,14
237,HD_312,0,0,0,0,0,0,0,2,8,Maniema Sud:Samba,10
240,HD_315,0,0,0,0,0,1,7,16,31,Masisi:Kirotshe,55
241,HD_316,0,0,0,0,1,7,16,31,56,Masisi:Masisi,111
242,HD_317,0,0,0,0,0,0,7,12,26,Masisi:Mweso,45
243,HD_318,0,0,0,0,0,0,5,10,20,Masisi:Pinga,35
244,HD_319,0,0,0,0,0,0,0,4,10,Masisi:Walikale,14
267,HD_34,0,0,0,0,0,0,0,1,8,Bukavu:Ibanda,9
269,HD_341,0,0,0,0,0,0,0,1,7,Mongala:Lisala,8
271,HD_343,0,0,0,0,0,0,0,0,1,Mongala:Pimu,1
272,HD_344,0,0,0,0,0,0,1,8,17,Mongala:Yamaluka,26
273,HD_345,0,0,0,0,0,0,0,0,2,Mongala:Yambuku,2
292,HD_362,0,0,0,0,0,0,0,0,3,Nord-Ubangi:Bili,3
296,HD_366,0,0,0,0,0,0,0,0,4,Nord-Ubangi:Karawa,4
300,HD_37,0,0,0,0,0,7,12,26,45,Bunia:Bunia,90
301,HD_370,0,0,0,0,0,0,0,0,1,Nord-Ubangi:Wasolo,1
302,HD_371,0,0,0,0,0,0,0,0,2,Nord-Ubangi:Yakoma,2
310,HD_379,0,0,0,0,0,7,12,24,44,Rutshuru:Binza,87
311,HD_38,0,0,0,0,0,0,0,5,10,Bunia:Gethy,15
312,HD_380,0,0,0,0,0,5,10,20,37,Rutshuru:Birambizo,72
313,HD_381,0,0,0,0,0,1,7,16,31,Rutshuru:Goma,55
314,HD_382,0,0,0,0,0,0,0,0,7,Rutshuru:Karisimbi,7
315,HD_383,0,0,0,0,3,8,17,31,56,Rutshuru:Rutshuru,115
316,HD_384,0,0,0,0,0,0,0,4,10,Rutshuru:Rwanguba,14
317,HD_385,0,0,0,0,0,0,0,0,4,SK Centre:Kaniola,4
318,HD_386,0,0,0,0,0,0,0,0,4,SK Centre:Kaziba,4
319,HD_387,0,0,0,0,0,0,0,0,1,SK Centre:Mubumbano,1
322,HD_39,0,0,0,0,0,0,6,10,18,Bunia:Komanda,34
324,HD_391,0,0,0,0,0,0,0,2,8,SK Centre:Walungu,10
326,HD_393,0,0,0,0,0,0,0,5,11,SK Nord:Idjwi,16
327,HD_394,0,0,0,0,0,0,0,0,7,SK Nord:Kabare,7
328,HD_395,0,0,0,0,0,0,0,0,1,SK Nord:Kalehe,1
330,HD_397,0,0,0,0,0,0,0,0,3,SK Nord:Katana,3
331,HD_398,0,0,0,0,0,0,0,0,5,SK Nord:Minova,5
333,HD_4,0,0,0,0,0,0,3,8,18,Aru:Ariwara,29
335,HD_400,0,0,0,0,0,0,0,0,4,SK Ouest:Kalole,4
336,HD_401,0,0,0,0,0,0,0,0,7,SK Ouest:Kamituga,7
339,HD_404,0,0,0,0,0,0,0,0,4,SK Ouest:Mulungu,4
340,HD_405,0,0,0,0,0,0,0,0,4,SK Ouest:Mwenga,4
341,HD_406,0,0,0,0,0,0,0,0,2,SK Ouest:Shabunda,2
342,HD_407,0,0,0,0,0,0,0,6,12,SK Sud:Fizi,18
343,HD_408,0,0,0,0,0,0,3,10,21,SK Sud:Haut-Plateau,34
344,HD_409,0,0,0,0,0,0,0,1,7,SK Sud:Itombwe,8
345,HD_41,0,0,0,0,0,0,4,8,16,Bunia:Mambasa,28
346,HD_410,0,0,0,0,0,0,0,0,2,SK Sud:Kimbi Lulenge,2
347,HD_411,0,0,0,0,0,0,4,11,24,SK Sud:Lemera,39
350,HD_414,0,0,0,0,0,0,0,0,3,SK Sud:Ruzizi,3
351,HD_415,0,0,0,0,0,0,4,10,21,SK Sud:Uvira,35
354,HD_418,0,0,0,0,0,0,0,0,3,Sankuru:Djalo Djeka,3
356,HD_42,0,0,0,0,0,0,7,9,16,Bunia:Mandima,32
358,HD_421,0,0,0,0,0,0,0,0,4,Sankuru:Lodja,4
368,HD_430,0,0,0,0,0,0,0,0,7,Sankuru:Vanga Kete,7
373,HD_435,0,0,0,0,0,0,0,0,1,Sud-Ubangi:Bominenge,1
378,HD_44,0,0,0,0,0,0,0,3,7,Bunia:Nyakunde,10
379,HD_440,0,0,0,0,0,0,0,2,9,Sud-Ubangi:Gemena,11
380,HD_441,0,0,0,0,0,0,0,2,8,Sud-Ubangi:Kungu,10
381,HD_442,0,0,0,0,0,0,0,0,2,Sud-Ubangi:Libenge,2
387,HD_448,0,0,0,0,0,0,0,0,3,Tanganika:Kabalo,3
388,HD_449,0,0,0,0,0,0,0,0,3,Tanganika:Kalemie,3
389,HD_45,0,0,0,0,0,0,0,1,7,Bunia:Rwampara,8
392,HD_452,0,0,0,0,0,0,0,0,4,Tanganika:Kongolo,4
393,HD_453,0,0,0,0,0,0,0,0,4,Tanganika:Manono,4
394,HD_454,0,0,0,0,0,0,0,0,4,Tanganika:Mbulala,4
395,HD_455,0,0,0,0,0,0,0,6,12,Tanganika:Moba,18
396,HD_456,0,0,0,0,0,0,0,0,7,Tanganika:Nyemba,7
397,HD_457,0,0,0,0,0,0,0,0,3,Tanganika:Nyunzu,3
400,HD_46,0,0,0,0,0,0,0,0,3,Buta:Aketi,3
402,HD_461,0,0,0,0,0,0,0,0,4,Tshikapa:Kamwesha,4
404,HD_463,0,0,0,0,0,0,0,0,1,Tshikapa:Kitangwa,1
412,HD_470,0,0,0,0,0,0,0,0,3,Tshilenge:Kasansa,3
415,HD_473,0,0,0,0,0,0,0,0,1,Tshilenge:Tshilenge,1
420,HD_478,0,0,0,0,0,0,0,0,5,Tshopo Lindi:Banalia,5
424,HD_481,0,0,0,0,0,0,0,0,6,Tshopo Lindi:Opala,6
426,HD_483,0,0,0,0,0,0,0,0,1,Tshopo Lindi:Ubundu,1
431,HD_488,0,0,0,0,0,0,0,0,4,Tshopo Lomami:Isangi,4
432,HD_489,0,0,0,0,0,0,0,4,10,Tshopo Lomami:Yabaondo,14
433,HD_49,0,0,0,0,0,0,0,0,4,Buta:Buta,4
435,HD_491,0,0,0,0,0,0,0,0,5,Tshopo Lomami:Yahuma,5
439,HD_495,0,0,0,0,0,0,0,1,7,Tshuapa:Boende,8
442,HD_498,0,0,0,0,0,0,0,0,3,Tshuapa:Djolu,3
443,HD_499,0,0,0,0,0,0,0,0,4,Tshuapa:Ikela,4
444,HD_5,0,0,0,0,0,0,2,8,17,Aru:Aru,27
448,HD_502,0,0,0,0,0,0,0,0,4,Tshuapa:Mondombe,4
451,HD_505,0,0,0,0,0,0,0,0,2,Tshuapa:Yalifafu,2
458,HD_53,0,0,0,0,0,0,2,7,12,Butembo:Biena,21
459,HD_54,0,0,6,10,19,33,55,88,141,Butembo:Butembo,352
460,HD_55,0,0,5,10,18,33,54,87,140,Butembo:Katwa,347
461,HD_56,0,0,0,0,5,10,20,35,61,Butembo:Kayna,131
462,HD_57,0,0,0,0,0,5,10,20,35,Butembo:Lubero,70
463,HD_58,0,0,0,0,0,0,5,10,18,Butembo:Manguredjipa,33
464,HD_59,0,0,0,0,0,0,1,7,12,Butembo:Masereka,20
465,HD_6,0,0,0,0,0,0,0,7,14,Aru:Aungba,21
466,HD_60,0,0,0,0,0,7,11,20,35,Butembo:Musienene,73
476,HD_7,0,0,0,0,0,0,0,1,7,Aru:Biringi,8
478,HD_71,0,0,0,0,0,0,0,0,4,Dingila:Ango,4
479,HD_72,0,0,0,0,0,0,0,6,11,Dingila:Ganga,17
480,HD_73,0,0,0,0,0,0,0,5,11,Dingila:Poko,16
481,HD_74,0,0,0,0,0,0,0,0,3,Dingila:Viadana,3
482,HD_75,0,0,0,0,0,0,0,3,8,Djugu:Bambu,11
483,HD_76,0,0,0,0,0,0,0,2,8,Djugu:Damas,10
484,HD_77,0,0,0,0,0,0,5,11,22,Djugu:Drodro,38
485,HD_78,0,0,0,0,0,0,5,11,22,Djugu:Fataki,38
486,HD_79,0,0,0,0,0,0,0,0,7,Djugu:Jiba,7
487,HD_8,0,0,0,0,0,0,0,4,10,Aru:Kambala,14
489,HD_81,0,0,0,0,0,0,0,1,7,Djugu:Linga,8
490,HD_82,0,0,0,0,0,0,0,0,7,Djugu:Lita,7
491,HD_83,0,0,0,0,0,0,0,0,4,Djugu:Mangala,4
492,HD_84,0,0,0,0,0,0,0,7,12,Djugu:Mongbalu,19
493,HD_85,0,0,0,0,0,0,0,0,7,Djugu:Nizi,7
494,HD_86,0,0,0,0,0,0,3,8,18,Djugu:Rethy,29
498,HD_9,0,0,0,0,0,0,0,2,8,Aru:Laybo,10
499,HD_90,0,0,0,0,0,0,0,0,1,Equateur:Bolomba,1
